Year,"Foreign direct investment, net outflows (BoP, current US$) China","Foreign direct investment, net outflows (BoP, current US$) India","Foreign direct investment, net outflows (BoP, current US$) USA"
1960,,,
1961,,,
1962,,,
1963,,,
1964,,,
1965,,,
1966,,,
1967,,,
1968,,,
1969,,,6490000000
1970,,,5620000000
1971,,,7330000000
1972,,,9340000000
1973,,,5160000000
1974,,0,13730000000
1975,,0,11320000000
1976,,0,11280000000
1977,,0,14370000000
1978,,0,24720000000
1979,,4000000,19040000000
1980,,2000000,10110000000
1981,44000000,1000000,7774000000
1982,93000000,5000000,8770000000
1983,134000000,4000000,12820000000
1984,629000000,3000000,3680000000
1985,450000000,-1000000,19524000000
1986,645000000,5000000,39797000000
1987,850000000,11000000,21701000000
1988,780000000,10000000,50980000000
1989,830000000,6000000,59940000000
1990,913000000,-11000000,49270000000
1991,4000000000,24000000,58770000000
1992,4400000000,350640.5619,82800000000
1993,2000000000,82583302.7,89990000000
1994,2000000000,117189079.2,1.1006E+11
1995,2114000000,239324706.5,1.0302E+11
1996,3765000000,112918990.4,1.2138E+11
1997,4527000000,47593027.49,1.7476E+11
1998,4036000000,79357457.32,2.47485E+11
1999,4612000000,509532974.7,1.8637E+11
2000,9696000000,1054132218,1.46041E+11
2001,6284049719,1261071115,1.78985E+11
2002,8456083724,1237846245,1.95218E+11
2003,7972601714,1837062923,3.74004E+11
2004,13729566303,2640754960,52591000000
2005,23932198468,14036833332,2.83801E+11
2006,17154799702,17026111929,5.2389E+11
2007,56742276630,19256527246,3.43583E+11
2008,43889985500,16095583747,3.12597E+11
2009,57953599366,15968099288,3.49828E+11
2010,48420641060,12607994610,4.36616E+11
2011,64963386524,8553237671,3.7724E+11
2012,72970879683,1764948800,3.92796E+11
2013,1.2313E+11,11686480933,3.87529E+11
2014,1.74391E+11,7514275639,3.02071E+11
2015,2.16424E+11,5047292606,2.99815E+11
2016,1.38293E+11,11090150305,4.09413E+11
2017,1.43027E+11,11417789536,-1.30016E+11
2018,1.3691E+11,13140702032,1.22191E+11
2019,1.09922E+11,11122667604,3.11692E+11
2020,,,
