Year,Area harvested,Production_Tonnes,Yield
1961,17000,66150,38912
1962,18000,70000,38889
1963,24000,92300,38458
1964,25000,95086,38034
1965,35000,129490,36997
1966,35000,131490,37569
1967,35000,134091,38312
1968,37000,126458,34178
1969,40000,140644,35161
1970,45500,151667,33333
1971,40500,137506,33952
1972,40790,143409,35158
1973,43550,187600,43077
1974,43500,191500,44023
1975,46620,239298,51329
1976,35800,293100,81872
1977,36190,307574,84989
1978,35400,335244,94702
1979,38600,363300,94119
1980,39180,377184,96270
1981,48817,366600,75097
1982,51195,311600,60865
1983,51978,303300,58352
1984,52745,339300,64328
1985,53736,355700,66194
1986,54393,372879,68553
1987,55464,367108,66189
1988,55725,361138,64807
1989,56457,370100,65554
1990,77137,453986,58855
1991,88884,498440,56078
1992,92513,538068,58161
1993,97623,563001,57671
1994,105643,641006,60677
1995,114770,715224,62318
1996,124105,805972,64943
1997,131959,1010596,76584
1998,136966,1015109,74114
1999,139878,887204,63427
2000,141620,868569,61331
2001,145101,901893,62156
2002,158598,976857,61593
2003,164109,1026949,62577
2004,167172,986613,59018
2005,172413,1003273,58190
2006,179900,936370,52049
2007,192418,1040966,54099
2008,195175,897199,45969
2009,196658,785510,39943
2010,197816,843508,42641
2011,195401,800551,40970
2012,197157,783420,39736
2013,196358,831224,42332
2014,196412,899014,45772
2015,196662,917005,46628
2016,195958,827075,42207
2017,194367,748952,38533
2018,194267,725122,37326
2019,194923,753985,38681
2020,195135,753103,38594
